x		F(x)
------------------------------
-1.0000		-1.5244
-0.9000		-1.4500
-0.8000		-1.3521
-0.7000		-1.2327
-0.6000		-1.0939
-0.5000		-0.9383
-0.4000		-0.7683
-0.3000		-0.5866
-0.2000		-0.3960
-0.1000		-0.1995
-0.0000		-0.0000
0.1000		0.1995
0.2000		0.3960
0.3000		0.5866
0.4000		0.7683
0.5000		0.9383
0.6000		1.0939
0.7000		1.2327
0.8000		1.3521
0.9000		1.4500
1.0000		1.5244
1.1000		1.5736
1.2000		1.5961
1.3000		1.5907
1.4000		1.5563
1.5000		1.4925
1.6000		1.3987
1.7000		1.2750
1.8000		1.1215
1.9000		0.9389
2.0000		0.7279
2.1000		0.4896
2.2000		0.2255
2.3000		-0.0629
2.4000		-0.3736
2.5000		-0.7046
2.6000		-1.0535
2.7000		-1.4179
2.8000		-1.7950
2.9000		-2.1823
3.0000		-2.5766
